"",,,"1958-1962",,,"1963-1967",,,"1968-1972",,,"1973-1977",,,"1978-1982",,,"1983-1987",,,"1988-1992",,,"1993-1997",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,
"4100.|Total area of the country (1000 ha)","4.|Algeria","World | Africa",238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",
"4100.|Total area of the country (1000 ha)","107.|Côte d'Ivoire","World | Africa",32246.0,"E",,32246.0,"E",,32246.0,"E",,32246.0,"E",,32246.0,"E",,32246.0,"E",,32246.0,"E",,32246.0,"E",,32246.0,"E",,32246.0,"E",,32246.0,"E",,32246.0,"E",
"4100.|Total area of the country (1000 ha)","250.|Democratic Republic of the Congo","World | Africa",234486.0,"E",,234486.0,"E",,234486.0,"E",,234486.0,"E",,234486.0,"E",,234486.0,"E",,234486.0,"E",,234486.0,"E",,234486.0,"E",,234486.0,"E",,234486.0,"E",,234486.0,"E",
"4100.|Total area of the country (1000 ha)","72.|Djibouti","World | Africa",2320.0,"E",,2320.0,"E",,2320.0,"E",,2320.0,"E",,2320.0,"E",,2320.0,"E",,2320.0,"E",,2320.0,"E",,2320.0,"E",,2320.0,"E",,2320.0,"E",,2320.0,"E",
"4100.|Total area of the country (1000 ha)","59.|Egypt","World | Africa",100145.0,"E",,100145.0,"E",,100145.0,"E",,100145.0,"E",,100145.0,"E",,100145.0,"E",,100145.0,"E",,100145.0,"E",,100145.0,"E",,100145.0,"E",,100145.0,"E",,100145.0,"E",
"4100.|Total area of the country (1000 ha)","61.|Equatorial Guinea","World | Africa",2805.0,"E",,2805.0,"E",,2805.0,"E",,2805.0,"E",,2805.0,"E",,2805.0,"E",,2805.0,"E",,2805.0,"E",,2805.0,"E",,2805.0,"E",,2805.0,"E",,2805.0,"E",
"4100.|Total area of the country (1000 ha)","178.|Eritrea","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,11760.0,"E",,11760.0,"E",,11760.0,"E",,11760.0,"E",,11760.0,"E",
"4100.|Total area of the country (1000 ha)","238.|Ethiopia","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,110430.0,"E",,110430.0,"E",,110430.0,"E",,110430.0,"E",,110430.0,"E",
"4100.|Total area of the country (1000 ha)","74.|Gabon","World | Africa",26767.0,"E",,26767.0,"E",,26767.0,"E",,26767.0,"E",,26767.0,"E",,26767.0,"E",,26767.0,"E",,26767.0,"E",,26767.0,"E",,26767.0,"E",,26767.0,"E",,26767.0,"E",
"4100.|Total area of the country (1000 ha)","75.|Gambia","World | Africa",1130.0,"E",,1130.0,"E",,1130.0,"E",,1130.0,"E",,1130.0,"E",,1130.0,"E",,1130.0,"E",,1130.0,"E",,1130.0,"E",,1130.0,"E",,1130.0,"E",,1130.0,"E",
"4100.|Total area of the country (1000 ha)","81.|Ghana","World | Africa",23854.0,"E",,23854.0,"E",,23854.0,"E",,23854.0,"E",,23854.0,"E",,23854.0,"E",,23854.0,"E",,23854.0,"E",,23854.0,"E",,23854.0,"E",,23854.0,"E",,23854.0,"E",
"4100.|Total area of the country (1000 ha)","90.|Guinea","World | Africa",24586.0,"E",,24586.0,"E",,24586.0,"E",,24586.0,"E",,24586.0,"E",,24586.0,"E",,24586.0,"E",,24586.0,"E",,24586.0,"E",,24586.0,"E",,24586.0,"E",,24586.0,"E",
"4100.|Total area of the country (1000 ha)","175.|Guinea-Bissau","World | Africa",3613.0,"E",,3613.0,"E",,3613.0,"E",,3613.0,"E",,3613.0,"E",,3613.0,"E",,3613.0,"E",,3613.0,"E",,3613.0,"E",,3613.0,"E",,3613.0,"E",,3613.0,"E",
"4100.|Total area of the country (1000 ha)","114.|Kenya","World | Africa",58037.0,"E",,58037.0,"E",,58037.0,"E",,58037.0,"E",,58037.0,"E",,58037.0,"E",,58037.0,"E",,58037.0,"E",,58037.0,"E",,58037.0,"E",,58037.0,"E",,58037.0,"E",
"4100.|Total area of the country (1000 ha)","122.|Lesotho","World | Africa",3036.0,"E",,3036.0,"E",,3036.0,"E",,3036.0,"E",,3036.0,"E",,3036.0,"E",,3036.0,"E",,3036.0,"E",,3036.0,"E",,3036.0,"E",,3036.0,"E",,3036.0,"E",
"4100.|Total area of the country (1000 ha)","123.|Liberia","World | Africa",11137.0,"E",,11137.0,"E",,11137.0,"E",,11137.0,"E",,11137.0,"E",,11137.0,"E",,11137.0,"E",,11137.0,"E",,11137.0,"E",,11137.0,"E",,11137.0,"E",,11137.0,"E",
"4100.|Total area of the country (1000 ha)","124.|Libya","World | Africa",175954.0,"E",,175954.0,"E",,175954.0,"E",,175954.0,"E",,175954.0,"E",,175954.0,"E",,175954.0,"E",,175954.0,"E",,175954.0,"E",,175954.0,"E",,175954.0,"E",,175954.0,"E",
"4100.|Total area of the country (1000 ha)","129.|Madagascar","World | Africa",58704.0,"E",,58704.0,"E",,58704.0,"E",,58704.0,"E",,58704.0,"E",,58704.0,"E",,58704.0,"E",,58704.0,"E",,58704.0,"E",,58704.0,"E",,58730.0,"E",,58730.0,"E",
"4100.|Total area of the country (1000 ha)","130.|Malawi","World | Africa",11848.0,"E",,11848.0,"E",,11848.0,"E",,11848.0,"E",,11848.0,"E",,11848.0,"E",,11848.0,"E",,11848.0,"E",,11848.0,"E",,11848.0,"E",,11848.0,"E",,11848.0,"E",
"4100.|Total area of the country (1000 ha)","133.|Mali","World | Africa",124019.0,"E",,124019.0,"E",,124019.0,"E",,124019.0,"E",,124019.0,"E",,124019.0,"E",,124019.0,"E",,124019.0,"E",,124019.0,"E",,124019.0,"E",,124019.0,"E",,124019.0,"E",
"4100.|Total area of the country (1000 ha)","136.|Mauritania","World | Africa",103070.0,"E",,103070.0,"E",,103070.0,"E",,103070.0,"E",,103070.0,"E",,103070.0,"E",,103070.0,"E",,103070.0,"E",,103070.0,"E",,103070.0,"E",,103070.0,"E",,103070.0,"E",
"4100.|Total area of the country (1000 ha)","137.|Mauritius","World | Africa",204.0,"E",,204.0,"E",,204.0,"E",,204.0,"E",,204.0,"E",,204.0,"E",,204.0,"E",,204.0,"E",,204.0,"E",,204.0,"E",,204.0,"E",,204.0,"E",
"4100.|Total area of the country (1000 ha)","143.|Morocco","World | Africa",44655.0,"E",,44655.0,"E",,44655.0,"E",,44655.0,"E",,44655.0,"E",,44655.0,"E",,44655.0,"E",,44655.0,"E",,44655.0,"E",,44655.0,"E",,44655.0,"E",,44655.0,"E",
"4100.|Total area of the country (1000 ha)","144.|Mozambique","World | Africa",79938.0,"E",,79938.0,"E",,79938.0,"E",,79938.0,"E",,79938.0,"E",,79938.0,"E",,79938.0,"E",,79938.0,"E",,79938.0,"E",,79938.0,"E",,79938.0,"E",,79938.0,"E",
"4100.|Total area of the country (1000 ha)","147.|Namibia","World | Africa",82429.0,"E",,82429.0,"E",,82429.0,"E",,82429.0,"E",,82429.0,"E",,82429.0,"E",,82429.0,"E",,82429.0,"E",,82429.0,"E",,82429.0,"E",,82429.0,"E",,82429.0,"E",
"4100.|Total area of the country (1000 ha)","158.|Niger","World | Africa",126700.0,"E",,126700.0,"E",,126700.0,"E",,126700.0,"E",,126700.0,"E",,126700.0,"E",,126700.0,"E",,126700.0,"E",,126700.0,"E",,126700.0,"E",,126700.0,"E",,126700.0,"E",
"4100.|Total area of the country (1000 ha)","159.|Nigeria","World | Africa",92377.0,"E",,92377.0,"E",,92377.0,"E",,92377.0,"E",,92377.0,"E",,92377.0,"E",,92377.0,"E",,92377.0,"E",,92377.0,"E",,92377.0,"E",,92377.0,"E",,92377.0,"E",
"4100.|Total area of the country (1000 ha)","184.|Rwanda","World | Africa",2634.0,"E",,2634.0,"E",,2634.0,"E",,2634.0,"E",,2634.0,"E",,2634.0,"E",,2634.0,"E",,2634.0,"E",,2634.0,"E",,2634.0,"E",,2634.0,"E",,2634.0,"E",
"4100.|Total area of the country (1000 ha)","193.|Sao Tome and Principe","World | Africa",96.0,"E",,96.0,"E",,96.0,"E",,96.0,"E",,96.0,"E",,96.0,"E",,96.0,"E",,96.0,"E",,96.0,"E",,96.0,"E",,96.0,"E",,96.0,"E",
"4100.|Total area of the country (1000 ha)","195.|Senegal","World | Africa",19671.0,"E",,19671.0,"E",,19671.0,"E",,19671.0,"E",,19671.0,"E",,19671.0,"E",,19671.0,"E",,19671.0,"E",,19671.0,"E",,19671.0,"E",,19671.0,"E",,19671.0,"E",
"4100.|Total area of the country (1000 ha)","196.|Seychelles","World | Africa",46.0,"E",,46.0,"E",,46.0,"E",,46.0,"E",,46.0,"E",,46.0,"E",,46.0,"E",,46.0,"E",,46.0,"E",,46.0,"E",,46.0,"E",,46.0,"E",
"4100.|Total area of the country (1000 ha)","197.|Sierra Leone","World | Africa",7230.0,"E",,7230.0,"E",,7230.0,"E",,7230.0,"E",,7230.0,"E",,7230.0,"E",,7230.0,"E",,7230.0,"E",,7230.0,"E",,7230.0,"E",,7230.0,"E",,7230.0,"E",
"4100.|Total area of the country (1000 ha)","201.|Somalia","World | Africa",63766.0,"E",,63766.0,"E",,63766.0,"E",,63766.0,"E",,63766.0,"E",,63766.0,"E",,63766.0,"E",,63766.0,"E",,63766.0,"E",,63766.0,"E",,63766.0,"E",,63766.0,"E",
"4100.|Total area of the country (1000 ha)","202.|South Africa","World | Africa",121909.0,"E",,121909.0,"E",,121909.0,"E",,121909.0,"E",,121909.0,"E",,121909.0,"E",,121909.0,"E",,121909.0,"E",,121909.0,"E",,121909.0,"E",,121909.0,"E",,121909.0,"E",
"4100.|Total area of the country (1000 ha)","277.|South Sudan","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,64433.0,"","[1]",64433.0,"","[2]"
"4100.|Total area of the country (1000 ha)","276.|Sudan","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,187936.0,"","[3]",187936.0,"","[4]"
"4100.|Total area of the country (1000 ha)","209.|Swaziland","World | Africa",1736.0,"E",,1736.0,"E",,1736.0,"E",,1736.0,"E",,1736.0,"E",,1736.0,"E",,1736.0,"E",,1736.0,"E",,1736.0,"E",,1736.0,"E",,1736.0,"E",,1736.0,"E",
"4100.|Total area of the country (1000 ha)","217.|Togo","World | Africa",5679.0,"E",,5679.0,"E",,5679.0,"E",,5679.0,"E",,5679.0,"E",,5679.0,"E",,5679.0,"E",,5679.0,"E",,5679.0,"E",,5679.0,"E",,5679.0,"E",,5679.0,"E",
"4100.|Total area of the country (1000 ha)","222.|Tunisia","World | Africa",16361.0,"E",,16361.0,"E",,16361.0,"E",,16361.0,"E",,16361.0,"E",,16361.0,"E",,16361.0,"E",,16361.0,"E",,16361.0,"E",,16361.0,"E",,16361.0,"E",,16361.0,"E",
"4100.|Total area of the country (1000 ha)","226.|Uganda","World | Africa",24155.0,"E",,24155.0,"E",,24155.0,"E",,24155.0,"E",,24155.0,"E",,24155.0,"E",,24155.0,"E",,24155.0,"E",,24155.0,"E",,24155.0,"E",,24155.0,"E",,24155.0,"E",
"4100.|Total area of the country (1000 ha)","215.|United Republic of Tanzania","World | Africa",94730.0,"E",,94730.0,"E",,94730.0,"E",,94730.0,"E",,94730.0,"E",,94730.0,"E",,94730.0,"E",,94730.0,"E",,94730.0,"E",,94730.0,"E",,94730.0,"E",,94730.0,"E",
"4100.|Total area of the country (1000 ha)","251.|Zambia","World | Africa",75261.0,"E",,75261.0,"E",,75261.0,"E",,75261.0,"E",,75261.0,"E",,75261.0,"E",,75261.0,"E",,75261.0,"E",,75261.0,"E",,75261.0,"E",,75261.0,"E",,75261.0,"E",
"4100.|Total area of the country (1000 ha)","181.|Zimbabwe","World | Africa",39076.0,"E",,39076.0,"E",,39076.0,"E",,39076.0,"E",,39076.0,"E",,39076.0,"E",,39076.0,"E",,39076.0,"E",,39076.0,"E",,39076.0,"E",,39076.0,"E",,39076.0,"E",
"4100.|Total area of the country (1000 ha)","8.|Antigua and Barbuda","World | Americas",44.0,"E",,44.0,"E",,44.0,"E",,44.0,"E",,44.0,"E",,44.0,"E",,44.0,"E",,44.0,"E",,44.0,"E",,44.0,"E",,44.0,"E",,44.0,"E",
"4100.|Total area of the country (1000 ha)","9.|Argentina","World | Americas",278040.0,"E",,278040.0,"E",,278040.0,"E",,278040.0,"E",,278040.0,"E",,278040.0,"E",,278040.0,"E",,278040.0,"E",,278040.0,"E",,278040.0,"E",,278040.0,"E",,278040.0,"E",
"4100.|Total area of the country (1000 ha)","12.|Bahamas","World | Americas",1388.0,"E",,1388.0,"E",,1388.0,"E",,1388.0,"E",,1388.0,"E",,1388.0,"E",,1388.0,"E",,1388.0,"E",,1388.0,"E",,1388.0,"E",,1388.0,"E",,1388.0,"E",
"4100.|Total area of the country (1000 ha)","14.|Barbados","World | Americas",43.0,"E",,43.0,"E",,43.0,"E",,43.0,"E",,43.0,"E",,43.0,"E",,43.0,"E",,43.0,"E",,43.0,"E",,43.0,"E",,43.0,"E",,43.0,"E",
"4100.|Total area of the country (1000 ha)","23.|Belize","World | Americas",2297.0,"E",,2297.0,"E",,2297.0,"E",,2297.0,"E",,2297.0,"E",,2297.0,"E",,2297.0,"E",,2297.0,"E",,2297.0,"E",,2297.0,"E",,2297.0,"E",,2297.0,"E",
"4100.|Total area of the country (1000 ha)","19.|Bolivia (Plurinational State of)","World | Americas",109858.0,"E",,109858.0,"E",,109858.0,"E",,109858.0,"E",,109858.0,"E",,109858.0,"E",,109858.0,"E",,109858.0,"E",,109858.0,"E",,109858.0,"E",,109858.0,"E",,109858.0,"E",
"4100.|Total area of the country (1000 ha)","21.|Brazil","World | Americas",851577.0,"E",,851577.0,"E",,851577.0,"E",,851577.0,"E",,851577.0,"E",,851577.0,"E",,851577.0,"E",,851577.0,"E",,851577.0,"E",,851577.0,"E",,851577.0,"E",,851577.0,"E",
"4100.|Total area of the country (1000 ha)","33.|Canada","World | Americas",998467.0,"E",,998467.0,"E",,998467.0,"E",,998467.0,"E",,998467.0,"E",,998467.0,"E",,998467.0,"E",,998467.0,"E",,998467.0,"E",,998467.0,"E",,998467.0,"E",,998467.0,"E",
"4100.|Total area of the country (1000 ha)","40.|Chile","World | Americas",75610.0,"E",,75610.0,"E",,75610.0,"E",,75610.0,"E",,75610.0,"E",,75610.0,"E",,75610.0,"E",,75610.0,"E",,75610.0,"E",,75610.0,"E",,75610.0,"E",,75610.0,"E",
"4100.|Total area of the country (1000 ha)","44.|Colombia","World | Americas",114175.0,"E",,114175.0,"E",,114175.0,"E",,114175.0,"E",,114175.0,"E",,114175.0,"E",,114175.0,"E",,114175.0,"E",,114175.0,"E",,114175.0,"E",,114175.0,"E",,114175.0,"E",
"4100.|Total area of the country (1000 ha)","48.|Costa Rica","World | Americas",5110.0,"E",,5110.0,"E",,5110.0,"E",,5110.0,"E",,5110.0,"E",,5110.0,"E",,5110.0,"E",,5110.0,"E",,5110.0,"E",,5110.0,"E",,5110.0,"E",,5110.0,"E",
"4100.|Total area of the country (1000 ha)","49.|Cuba","World | Americas",10989.0,"E",,10989.0,"E",,10989.0,"E",,10989.0,"E",,10989.0,"E",,10989.0,"E",,10989.0,"E",,10989.0,"E",,10989.0,"E",,10989.0,"E",,10988.0,"E",,10988.0,"E",
"4100.|Total area of the country (1000 ha)","55.|Dominica","World | Americas",75.0,"E",,75.0,"E",,75.0,"E",,75.0,"E",,75.0,"E",,75.0,"E",,75.0,"E",,75.0,"E",,75.0,"E",,75.0,"E",,75.0,"E",,75.0,"E",
"4100.|Total area of the country (1000 ha)","56.|Dominican Republic","World | Americas",4867.0,"E",,4867.0,"E",,4867.0,"E",,4867.0,"E",,4867.0,"E",,4867.0,"E",,4867.0,"E",,4867.0,"E",,4867.0,"E",,4867.0,"E",,4867.0,"E",,4867.0,"E",
"4100.|Total area of the country (1000 ha)","58.|Ecuador","World | Americas",28356.0,"E",,28356.0,"E",,28356.0,"E",,28356.0,"E",,28356.0,"E",,28356.0,"E",,28356.0,"E",,28356.0,"E",,25637.0,"E",,25637.0,"E",,25637.0,"E",,25637.0,"E",
"4100.|Total area of the country (1000 ha)","60.|El Salvador","World | Americas",2104.0,"E",,2104.0,"E",,2104.0,"E",,2104.0,"E",,2104.0,"E",,2104.0,"E",,2104.0,"E",,2104.0,"E",,2104.0,"E",,2104.0,"E",,2104.0,"E",,2104.0,"E",
"4100.|Total area of the country (1000 ha)","86.|Grenada","World | Americas",34.0,"E",,34.0,"E",,34.0,"E",,34.0,"E",,34.0,"E",,34.0,"E",,34.0,"E",,34.0,"E",,34.0,"E",,34.0,"E",,34.0,"E",,34.0,"E",
"4100.|Total area of the country (1000 ha)","89.|Guatemala","World | Americas",10889.0,"E",,10889.0,"E",,10889.0,"E",,10889.0,"E",,10889.0,"E",,10889.0,"E",,10889.0,"E",,10889.0,"E",,10889.0,"E",,10889.0,"E",,10889.0,"E",,10889.0,"E",
"4100.|Total area of the country (1000 ha)","91.|Guyana","World | Americas",21497.0,"E",,21497.0,"E",,21497.0,"E",,21497.0,"E",,21497.0,"E",,21497.0,"E",,21497.0,"E",,21497.0,"E",,21497.0,"E",,21497.0,"E",,21497.0,"E",,21497.0,"E",
"4100.|Total area of the country (1000 ha)","93.|Haiti","World | Americas",2775.0,"E",,2775.0,"E",,2775.0,"E",,2775.0,"E",,2775.0,"E",,2775.0,"E",,2775.0,"E",,2775.0,"E",,2775.0,"E",,2775.0,"E",,2775.0,"E",,2775.0,"E",
"4100.|Total area of the country (1000 ha)","95.|Honduras","World | Americas",11249.0,"E",,11249.0,"E",,11249.0,"E",,11249.0,"E",,11249.0,"E",,11249.0,"E",,11249.0,"E",,11249.0,"E",,11249.0,"E",,11249.0,"E",,11249.0,"E",,11249.0,"E",
"4100.|Total area of the country (1000 ha)","109.|Jamaica","World | Americas",1099.0,"E",,1099.0,"E",,1099.0,"E",,1099.0,"E",,1099.0,"E",,1099.0,"E",,1099.0,"E",,1099.0,"E",,1099.0,"E",,1099.0,"E",,1099.0,"E",,1099.0,"E",
"4100.|Total area of the country (1000 ha)","138.|Mexico","World | Americas",196438.0,"E",,196438.0,"E",,196438.0,"E",,196438.0,"E",,196438.0,"E",,196438.0,"E",,196438.0,"E",,196438.0,"E",,196438.0,"E",,196438.0,"E",,196438.0,"E",,196438.0,"E",
"4100.|Total area of the country (1000 ha)","157.|Nicaragua","World | Americas",13037.0,"E",,13037.0,"E",,13037.0,"E",,13037.0,"E",,13037.0,"E",,13037.0,"E",,13037.0,"E",,13037.0,"E",,13037.0,"E",,13037.0,"E",,13037.0,"E",,13037.0,"E",
"4100.|Total area of the country (1000 ha)","166.|Panama","World | Americas",7542.0,"E",,7542.0,"E",,7542.0,"E",,7542.0,"E",,7542.0,"E",,7542.0,"E",,7542.0,"E",,7542.0,"E",,7542.0,"E",,7542.0,"E",,7542.0,"E",,7542.0,"E",
"4100.|Total area of the country (1000 ha)","169.|Paraguay","World | Americas",40675.0,"E",,40675.0,"E",,40675.0,"E",,40675.0,"E",,40675.0,"E",,40675.0,"E",,40675.0,"E",,40675.0,"E",,40675.0,"E",,40675.0,"E",,40675.0,"E",,40675.0,"E",
"4100.|Total area of the country (1000 ha)","170.|Peru","World | Americas",128522.0,"E",,128522.0,"E",,128522.0,"E",,128522.0,"E",,128522.0,"E",,128522.0,"E",,128522.0,"E",,128522.0,"E",,128522.0,"E",,128522.0,"E",,128522.0,"E",,128522.0,"E",
"4100.|Total area of the country (1000 ha)","177.|Puerto Rico","World | Americas",887.0,"E",,887.0,"E",,887.0,"E",,887.0,"E",,887.0,"E",,887.0,"E",,887.0,"E",,887.0,"E",,887.0,"E",,887.0,"E",,887.0,"E",,887.0,"E",
"4100.|Total area of the country (1000 ha)","188.|Saint Kitts and Nevis","World | Americas",35.0,"E",,35.0,"E",,35.0,"E",,35.0,"E",,26.0,"E",,26.0,"E",,26.0,"E",,26.0,"E",,26.0,"E",,26.0,"E",,26.0,"E",,26.0,"E",
"4100.|Total area of the country (1000 ha)","189.|Saint Lucia","World | Americas",62.0,"E",,62.0,"E",,62.0,"E",,62.0,"E",,62.0,"E",,62.0,"E",,62.0,"E",,62.0,"E",,62.0,"E",,62.0,"E",,62.0,"E",,62.0,"E",
"4100.|Total area of the country (1000 ha)","191.|Saint Vincent and the Grenadines","World | Americas",39.0,"E",,39.0,"E",,39.0,"E",,39.0,"E",,39.0,"E",,39.0,"E",,39.0,"E",,39.0,"E",,39.0,"E",,39.0,"E",,39.0,"E",,39.0,"E",
"4100.|Total area of the country (1000 ha)","207.|Suriname","World | Americas",16382.0,"E",,16382.0,"E",,16382.0,"E",,16382.0,"E",,16382.0,"E",,16382.0,"E",,16382.0,"E",,16382.0,"E",,16382.0,"E",,16382.0,"E",,16382.0,"E",,16382.0,"E",
"4100.|Total area of the country (1000 ha)","220.|Trinidad and Tobago","World | Americas",513.0,"E",,513.0,"E",,513.0,"E",,513.0,"E",,513.0,"E",,513.0,"E",,513.0,"E",,513.0,"E",,513.0,"E",,513.0,"E",,513.0,"E",,513.0,"E",
"4100.|Total area of the country (1000 ha)","231.|United States of America","World | Americas",962909.0,"E",,962909.0,"E",,962909.0,"E",,962909.0,"E",,962909.0,"E",,962909.0,"E",,962909.0,"E",,962909.0,"E",,963203.0,"E",,963203.0,"E",,983151.0,"E",,983151.0,"E",
"4100.|Total area of the country (1000 ha)","234.|Uruguay","World | Americas",17622.0,"E",,17622.0,"E",,17622.0,"E",,17622.0,"E",,17622.0,"E",,17622.0,"E",,17622.0,"E",,17622.0,"E",,17622.0,"E",,17622.0,"E",,17622.0,"E",,17622.0,"E",
"4100.|Total area of the country (1000 ha)","236.|Venezuela (Bolivarian Republic of)","World | Americas",91205.0,"E",,91205.0,"E",,91205.0,"E",,91205.0,"E",,91205.0,"E",,91205.0,"E",,91205.0,"E",,91205.0,"E",,91205.0,"E",,91205.0,"E",,91205.0,"E",,91205.0,"E",
"4100.|Total area of the country (1000 ha)","2.|Afghanistan","World | Asia",65286.0,"E",,65286.0,"E",,65286.0,"E",,65286.0,"E",,65286.0,"E",,65286.0,"E",,65286.0,"E",,65286.0,"E",,65286.0,"E",,65286.0,"E",,65286.0,"E",,65286.0,"E",
"4100.|Total area of the country (1000 ha)","1.|Armenia","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,2974.0,"E",,2974.0,"E",,2974.0,"E",,2974.0,"E",,2974.0,"E",,2974.0,"E",
"4100.|Total area of the country (1000 ha)","52.|Azerbaijan","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,8660.0,"E",,8660.0,"E",,8660.0,"E",,8660.0,"E",,8660.0,"E",,8660.0,"E",
"4100.|Total area of the country (1000 ha)","13.|Bahrain","World | Asia",69.0,"E",,69.0,"E",,69.0,"E",,69.0,"E",,69.0,"E",,69.0,"E",,71.0,"E",,71.0,"E",,71.0,"E",,75.0,"E",,77.0,"E",,77.1,"E",
"4100.|Total area of the country (1000 ha)","16.|Bangladesh","World | Asia",14846.0,"E",,14846.0,"E",,14846.0,"E",,14846.0,"E",,14846.0,"E",,14846.0,"E",,14846.0,"E",,14846.0,"E",,14846.0,"E",,14846.0,"E",,14846.0,"E",,14763.0,"E",
"4100.|Total area of the country (1000 ha)","18.|Bhutan","World | Asia",4700.0,"E",,4700.0,"E",,4700.0,"E",,4700.0,"E",,4700.0,"E",,4700.0,"E",,4700.0,"E",,4008.0,"E",,4008.0,"E",,3839.0,"E",,3839.0,"E",,3839.0,"E",
"4100.|Total area of the country (1000 ha)","26.|Brunei Darussalam","World | Asia",577.0,"E",,577.0,"E",,577.0,"E",,577.0,"E",,577.0,"E",,577.0,"E",,577.0,"E",,577.0,"E",,577.0,"E",,577.0,"E",,577.0,"E",,577.0,"E",
"4100.|Total area of the country (1000 ha)","115.|Cambodia","World | Asia",18104.0,"E",,18104.0,"E",,18104.0,"E",,18104.0,"E",,18104.0,"E",,18104.0,"E",,18104.0,"E",,18104.0,"E",,18104.0,"E",,18104.0,"E",,18104.0,"E",,18104.0,"E",
