

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"China",351,"Agricultural water withdrawal",4250,2013,392.2,"","",""
"Colombia",44,"Agricultural water withdrawal",4250,1996,3.308,"","",""
"Colombia",44,"Agricultural water withdrawal",4250,2000,4.92,"L","",""
"Colombia",44,"Agricultural water withdrawal",4250,2008,6.391,"I","",""
"Comoros",45,"Agricultural water withdrawal",4250,1999,0.0047,"","",""
"Congo",46,"Agricultural water withdrawal",4250,1987,0.0044,"","",""
"Congo",46,"Agricultural water withdrawal",4250,2002,0.004,"I","",""
"Costa Rica",48,"Agricultural water withdrawal",4250,2013,1.33,"","",""
"Côte d'Ivoire",107,"Agricultural water withdrawal",4250,1987,0.475,"","",""
"Côte d'Ivoire",107,"Agricultural water withdrawal",4250,1994,0.8,"","",""
"Côte d'Ivoire",107,"Agricultural water withdrawal",4250,2000,0.6,"L","",""
"Côte d'Ivoire",107,"Agricultural water withdrawal",4250,2005,0.5953,"L","[45,46]",""
"Côte d'Ivoire",107,"Agricultural water withdrawal",4250,2008,0.5953,"L","[47]",""
"Croatia",98,"Agricultural water withdrawal",4250,2002,0.0059,"","",""
"Croatia",98,"Agricultural water withdrawal",4250,2007,0.0032,"E","[48]",""
"Croatia",98,"Agricultural water withdrawal",4250,2010,0.0086,"","",""
"Cuba",49,"Agricultural water withdrawal",4250,1995,2.666,"","",""
"Cuba",49,"Agricultural water withdrawal",4250,2007,2.476,"","",""
"Cuba",49,"Agricultural water withdrawal",4250,2010,3.569,"","",""
"Cuba",49,"Agricultural water withdrawal",4250,2013,4.519,"","",""
"Cyprus",50,"Agricultural water withdrawal",4250,1975,0.13,"","",""
"Cyprus",50,"Agricultural water withdrawal",4250,1980,0.14,"","",""
"Cyprus",50,"Agricultural water withdrawal",4250,1985,0.155,"","",""
"Cyprus",50,"Agricultural water withdrawal",4250,1990,0.166,"","",""
"Cyprus",50,"Agricultural water withdrawal",4250,1993,0.156,"","",""
"Cyprus",50,"Agricultural water withdrawal",4250,2002,0.1606,"E","[49]",""
"Cyprus",50,"Agricultural water withdrawal",4250,2007,0.143,"E","[50]",""
"Cyprus",50,"Agricultural water withdrawal",4250,2012,0.171,"E","[51]",""
"Cyprus",50,"Agricultural water withdrawal",4250,2013,0.1676,"E","[52]",""
"Czechia",167,"Agricultural water withdrawal",4250,1985,,,"[53]",
"Czechia",167,"Agricultural water withdrawal",4250,1990,,,"[54]",
"Czechia",167,"Agricultural water withdrawal",4250,1997,0.02,"E","[55]",""
"Czechia",167,"Agricultural water withdrawal",4250,2002,0.0187,"E","",""
"Czechia",167,"Agricultural water withdrawal",4250,2007,0.0298,"E","",""
"Czechia",167,"Agricultural water withdrawal",4250,2012,0.0432,"E","[56]",""
"Czechia",167,"Agricultural water withdrawal",4250,2013,0.044,"E","[57]",""
"Democratic People's Republic of Korea",116,"Agricultural water withdrawal",4250,1995,6.61,"L","",""
"Democratic People's Republic of Korea",116,"Agricultural water withdrawal",4250,2005,6.61,"L","",""
"Democratic Republic of the Congo",250,"Agricultural water withdrawal",4250,1995,0.083,"","",""
"Democratic Republic of the Congo",250,"Agricultural water withdrawal",4250,2000,0.0719,"L","[58]",""
"Democratic Republic of the Congo",250,"Agricultural water withdrawal",4250,2005,0.0719,"L","[59,60]",""
"Denmark",54,"Agricultural water withdrawal",4250,1970,0.18,"E","",""
"Denmark",54,"Agricultural water withdrawal",4250,1975,0.46,"E","",""
"Denmark",54,"Agricultural water withdrawal",4250,1980,0.46,"E","",""
"Denmark",54,"Agricultural water withdrawal",4250,1985,0.7,"E","",""
"Denmark",54,"Agricultural water withdrawal",4250,1990,0.465,"E","",""
"Denmark",54,"Agricultural water withdrawal",4250,1997,0.369,"E","",""
"Denmark",54,"Agricultural water withdrawal",4250,2002,0.1652,"E","[61]",""
"Denmark",54,"Agricultural water withdrawal",4250,2007,0.1175,"E","[62]",""
"Denmark",54,"Agricultural water withdrawal",4250,2012,0.164,"E","[63]",""
"Djibouti",72,"Agricultural water withdrawal",4250,1985,0.007,"","",""
"Djibouti",72,"Agricultural water withdrawal",4250,2000,0.003,"","[64]",""
"Dominica",55,"Agricultural water withdrawal",4250,2010,0.001,"I","",""
"Dominican Republic",56,"Agricultural water withdrawal",4250,2000,4.2,"I","",""
"Dominican Republic",56,"Agricultural water withdrawal",4250,2005,4.487,"I","",""
"Dominican Republic",56,"Agricultural water withdrawal",4250,2010,5.715,"","",""
"Ecuador",58,"Agricultural water withdrawal",4250,2000,8.076,"L","[65]",""
"Ecuador",58,"Agricultural water withdrawal",4250,2005,8.076,"L","[66,67]",""
"Egypt",59,"Agricultural water withdrawal",4250,1995,50.71,"I","",""
"Egypt",59,"Agricultural water withdrawal",4250,2000,59.0,"","",""
"Egypt",59,"Agricultural water withdrawal",4250,2010,67.0,"","",""
"El Salvador",60,"Agricultural water withdrawal",4250,1992,0.336,"","",""
"El Salvador",60,"Agricultural water withdrawal",4250,2000,0.76,"L","",""
"El Salvador",60,"Agricultural water withdrawal",4250,2005,1.431,"","",""
"Equatorial Guinea",61,"Agricultural water withdrawal",4250,1987,6.0E-4,"","",""
"Equatorial Guinea",61,"Agricultural water withdrawal",4250,2000,0.001,"L","",""
"Eritrea",178,"Agricultural water withdrawal",4250,2000,0.29,"L","",""
"Eritrea",178,"Agricultural water withdrawal",4250,2004,0.55,"","",""
"Estonia",63,"Agricultural water withdrawal",4250,1995,0.008,"","",""
"Estonia",63,"Agricultural water withdrawal",4250,2002,0.03,"E","[68]",""
"Estonia",63,"Agricultural water withdrawal",4250,2007,0.0076,"E","[69]",""
"Estonia",63,"Agricultural water withdrawal",4250,2012,0.0045,"E","",""
"Estonia",63,"Agricultural water withdrawal",4250,2014,0.005,"","",""
"Ethiopia",238,"Agricultural water withdrawal",4250,2002,5.204,"I","",""
"Ethiopia",238,"Agricultural water withdrawal",4250,2005,7.0,"I","",""
"Ethiopia",238,"Agricultural water withdrawal",4250,2016,9.687,"K","[70]",""
"Fiji",66,"Agricultural water withdrawal",4250,1987,0.018,"","",""
"Fiji",66,"Agricultural water withdrawal",4250,2000,0.05,"L","",""
"Fiji",66,"Agricultural water withdrawal",4250,2005,0.05,"I","",""
"Finland",67,"Agricultural water withdrawal",4250,1990,0.02,"E","",""
"Finland",67,"Agricultural water withdrawal",4250,1995,0.05,"E","",""
"Finland",67,"Agricultural water withdrawal",4250,2002,0.05,"E","[71]",""
"Finland",67,"Agricultural water withdrawal",4250,2005,0.05,"E","[72]",""
"France",68,"Agricultural water withdrawal",4250,1992,4.919,"E","",""
"France",68,"Agricultural water withdrawal",4250,1997,3.35,"E","",""
"France",68,"Agricultural water withdrawal",4250,2002,4.291,"E","[73]",""
"France",68,"Agricultural water withdrawal",4250,2007,3.933,"E","[74]",""
"France",68,"Agricultural water withdrawal",4250,2009,3.143,"","",""
"Gabon",74,"Agricultural water withdrawal",4250,1987,0.0036,"","",""
"Gabon",74,"Agricultural water withdrawal",4250,2000,0.0403,"L","[75]",""
"Gabon",74,"Agricultural water withdrawal",4250,2005,0.0403,"L","[76,77]",""
"Gambia",75,"Agricultural water withdrawal",4250,1982,0.0182,"","",""
"Gambia",75,"Agricultural water withdrawal",4250,1999,0.0392,"L","[78]",""
"Georgia",73,"Agricultural water withdrawal",4250,2005,1.055,"","[79]",""
"Germany",79,"Agricultural water withdrawal",4250,1991,1.6,"E","",""
"Germany",79,"Agricultural water withdrawal",4250,1995,1.6,"","",""
"Germany",79,"Agricultural water withdrawal",4250,2000,1.14,"E","",""
"Germany",79,"Agricultural water withdrawal",4250,2007,0.1317,"E","",""
"Germany",79,"Agricultural water withdrawal",4250,2010,0.2109,"E","[80]",""
"Ghana",81,"Agricultural water withdrawal",4250,1970,0.156,"","",""
"Ghana",81,"Agricultural water withdrawal",4250,2000,0.652,"I","",""
"Greece",84,"Agricultural water withdrawal",4250,1970,2.425,"E","[81]",""
"Greece",84,"Agricultural water withdrawal",4250,1975,3.576,"E","",""
"Greece",84,"Agricultural water withdrawal",4250,1985,4.6,"E","[82]",""
"Greece",84,"Agricultural water withdrawal",4250,1992,7.9,"E","[83]",""
"Greece",84,"Agricultural water withdrawal",4250,1997,7.6,"E","[84]",""
"Greece",84,"Agricultural water withdrawal",4250,2002,8.42,"E","[85]",""
"Greece",84,"Agricultural water withdrawal",4250,2007,8.458,"E","[86]",""
"Greece",84,"Agricultural water withdrawal",4250,2011,7.918,"E","[87]",""
"Grenada",86,"Agricultural water withdrawal",4250,1997,0.0022,"L","[88]",""
"Grenada",86,"Agricultural water withdrawal",4250,2014,0.0021,"I","",""
"Guatemala",89,"Agricultural water withdrawal",4250,2001,1.472,"","",""
"Guatemala",89,"Agricultural water withdrawal",4250,2006,1.886,"","",""
"Guinea",90,"Agricultural water withdrawal",4250,1987,0.644,"","",""
"Guinea",90,"Agricultural water withdrawal",4250,2001,0.2929,"L","[89]",""
"Guinea-Bissau",175,"Agricultural water withdrawal",4250,1991,0.006,"","",""
"Guinea-Bissau",175,"Agricultural water withdrawal",4250,1996,0.144,"","",""
"Guinea-Bissau",175,"Agricultural water withdrawal",4250,2000,0.144,"","",""
"Guyana",91,"Agricultural water withdrawal",4250,1992,1.438,"","",""
"Guyana",91,"Agricultural water withdrawal",4250,2000,1.6,"L","",""
"Guyana",91,"Agricultural water withdrawal",4250,2010,1.363,"L","[90]",""
"Haiti",93,"Agricultural water withdrawal",4250,1991,0.9246,"","",""
"Haiti",93,"Agricultural water withdrawal",4250,1995,1.169,"","",""
"Haiti",93,"Agricultural water withdrawal",4250,2009,1.209,"L","[91]",""
"Honduras",95,"Agricultural water withdrawal",4250,2003,1.178,"","",""
"Hungary",97,"Agricultural water withdrawal",4250,1970,0.665,"E","[92]",""
"Hungary",97,"Agricultural water withdrawal",4250,1975,0.8903,"E","[93]",""
"Hungary",97,"Agricultural water withdrawal",4250,1985,2.286,"","",""
"Hungary",97,"Agricultural water withdrawal",4250,1992,0.949,"E","[94]",""
"Hungary",97,"Agricultural water withdrawal",4250,1996,0.4556,"E","[95]",""
"Hungary",97,"Agricultural water withdrawal",4250,2002,0.6796,"E","[96]",""
"Hungary",97,"Agricultural water withdrawal",4250,2006,0.3054,"E","[97]",""
"Hungary",97,"Agricultural water withdrawal",4250,2012,0.322,"E","[98]",""
"Iceland",99,"Agricultural water withdrawal",4250,1980,0.004,"E","",""
"Iceland",99,"Agricultural water withdrawal",4250,1985,0.004,"E","[99]",""
"Iceland",99,"Agricultural water withdrawal",4250,1992,0.07,"E","[100]",""
"Iceland",99,"Agricultural water withdrawal",4250,2002,0.07,"E","[101]",""
"Iceland",99,"Agricultural water withdrawal",4250,2004,0.07,"E","[102]",""
"India",100,"Agricultural water withdrawal",4250,1975,353.4,"","",""
"India",100,"Agricultural water withdrawal",4250,1980,411.7,"I","",""
"India",100,"Agricultural water withdrawal",4250,1986,468.0,"I","",""
"India",100,"Agricultural water withdrawal",4250,1990,460.0,"","",""
"India",100,"Agricultural water withdrawal",4250,2000,558.4,"L","",""
"India",100,"Agricultural water withdrawal",4250,2010,688.0,"","",""
"Indonesia",101,"Agricultural water withdrawal",4250,1990,69.24,"","",""
"Indonesia",101,"Agricultural water withdrawal",4250,2000,92.76,"","",""
"Iran (Islamic Republic of)",102,"Agricultural water withdrawal",4250,1995,76.0,"","",""
"Iran (Islamic Republic of)",102,"Agricultural water withdrawal",4250,2001,83.75,"I","",""
"Iran (Islamic Republic of)",102,"Agricultural water withdrawal",4250,2004,86.0,"","",""
"Iraq",103,"Agricultural water withdrawal",4250,1975,39.53,"","",""
"Iraq",103,"Agricultural water withdrawal",4250,1980,39.77,"I","",""
"Iraq",103,"Agricultural water withdrawal",4250,1985,40.0,"","",""
"Iraq",103,"Agricultural water withdrawal",4250,1990,39.38,"","",""
"Iraq",103,"Agricultural water withdrawal",4250,1995,45.69,"I","",""
"Iraq",103,"Agricultural water withdrawal",4250,2000,52.0,"","",""
"Ireland",104,"Agricultural water withdrawal",4250,1970,0.179,"E","",""
"Ireland",104,"Agricultural water withdrawal",4250,1980,0.13,"E","",""
"Ireland",104,"Agricultural water withdrawal",4250,1994,0.179,"E","[103]",""
"Israel",105,"Agricultural water withdrawal",4250,1970,1.249,"","",""
"Israel",105,"Agricultural water withdrawal",4250,1975,1.242,"I","",""
"Israel",105,"Agricultural water withdrawal",4250,1980,1.235,"","",""
"Israel",105,"Agricultural water withdrawal",4250,1990,1.216,"","",""
"Israel",105,"Agricultural water withdrawal",4250,2002,1.021,"","",""
"Israel",105,"Agricultural water withdrawal",4250,2004,1.129,"","",""
"Israel",105,"Agricultural water withdrawal",4250,2009,1.016,"","",""
"Italy",106,"Agricultural water withdrawal",4250,1970,25.6,"","",""
"Italy",106,"Agricultural water withdrawal",4250,2000,20.01,"L","",""
"Italy",106,"Agricultural water withdrawal",4250,2007,12.89,"L","[104]",""
"Jamaica",109,"Agricultural water withdrawal",4250,1993,0.696,"","",""
"Jamaica",109,"Agricultural water withdrawal",4250,2007,0.448,"L","",""
"Japan",110,"Agricultural water withdrawal",4250,1980,58.0,"","",""
"Japan",110,"Agricultural water withdrawal",4250,1992,58.6,"","",""
"Japan",110,"Agricultural water withdrawal",4250,1997,58.88,"E","",""
"Japan",110,"Agricultural water withdrawal",4250,2002,56.05,"E","[105]",""
"Japan",110,"Agricultural water withdrawal",4250,2007,54.5,"E","[106]",""
"Japan",110,"Agricultural water withdrawal",4250,2009,54.43,"E","[107]",""
"Jordan",112,"Agricultural water withdrawal",4250,1975,0.293,"","",""
"Jordan",112,"Agricultural water withdrawal",4250,1980,0.377,"I","",""
"Jordan",112,"Agricultural water withdrawal",4250,1985,0.461,"","",""
"Jordan",112,"Agricultural water withdrawal",4250,1992,0.737,"","",""
"Jordan",112,"Agricultural water withdrawal",4250,2005,0.6112,"","",""
"Kazakhstan",108,"Agricultural water withdrawal",4250,1995,27.41,"","",""
"Kazakhstan",108,"Agricultural water withdrawal",4250,2002,14.8,"","",""
"Kazakhstan",108,"Agricultural water withdrawal",4250,2007,14.03,"","",""
"Kazakhstan",108,"Agricultural water withdrawal",4250,2010,14.0,"","[108]",""
"Kenya",114,"Agricultural water withdrawal",4250,1990,1.566,"","",""
"Kenya",114,"Agricultural water withdrawal",4250,2000,1.01,"L","",""
"Kenya",114,"Agricultural water withdrawal",4250,2003,1.75,"","[109]",""
"Kenya",114,"Agricultural water withdrawal",4250,2010,1.907,"","[110]",""
"Kuwait",118,"Agricultural water withdrawal",4250,1994,0.324,"","",""
"Kuwait",118,"Agricultural water withdrawal",4250,2002,0.4919,"","",""
"Kyrgyzstan",113,"Agricultural water withdrawal",4250,1994,9.496,"","",""
"Kyrgyzstan",113,"Agricultural water withdrawal",4250,2000,9.45,"L","",""
"Kyrgyzstan",113,"Agricultural water withdrawal",4250,2006,7.447,"","",""
"Kyrgyzstan",113,"Agricultural water withdrawal",4250,2011,7.1,"","",""
"Lao People's Democratic Republic",120,"Agricultural water withdrawal",4250,2005,3.193,"L","[111]",""
"Latvia",119,"Agricultural water withdrawal",4250,1995,0.036,"","",""
"Latvia",119,"Agricultural water withdrawal",4250,2002,0.0532,"E","[112]",""
"Latvia",119,"Agricultural water withdrawal",4250,2007,0.0506,"E","[113]",""
"Latvia",119,"Agricultural water withdrawal",4250,2012,0.0408,"E","[114]",""
"Latvia",119,"Agricultural water withdrawal",4250,2013,0.0363,"E","[115]",""
"Lebanon",121,"Agricultural water withdrawal",4250,1975,0.638,"","",""
"Lebanon",121,"Agricultural water withdrawal",4250,1994,0.875,"","",""
"Lebanon",121,"Agricultural water withdrawal",4250,2000,0.92,"L","",""
"Lebanon",121,"Agricultural water withdrawal",4250,2005,0.78,"","",""
"Lesotho",122,"Agricultural water withdrawal",4250,1987,0.028,"","",""
"Lesotho",122,"Agricultural water withdrawal",4250,1999,0.0038,"L","[116]",""
"Liberia",123,"Agricultural water withdrawal",4250,1987,0.078,"","",""
"Liberia",123,"Agricultural water withdrawal",4250,2000,0.0123,"L","[117]",""
"Libya",124,"Agricultural water withdrawal",4250,1985,1.965,"","",""
"Libya",124,"Agricultural water withdrawal",4250,1990,4.28,"","",""
"Libya",124,"Agricultural water withdrawal",4250,1994,4.0,"","",""
"Libya",124,"Agricultural water withdrawal",4250,2000,3.584,"","",""
"Libya",124,"Agricultural water withdrawal",4250,2012,4.85,"","",""
"Lithuania",126,"Agricultural water withdrawal",4250,1995,0.008,"","",""
"Lithuania",126,"Agricultural water withdrawal",4250,2001,0.053,"E","[118]",""
"Lithuania",126,"Agricultural water withdrawal",4250,2007,0.0818,"E","[119]",""
"Lithuania",126,"Agricultural water withdrawal",4250,2011,0.0656,"","",""
"Luxembourg",256,"Agricultural water withdrawal",4250,1995,2.0E-4,"E","",""
"Luxembourg",256,"Agricultural water withdrawal",4250,1999,2.0E-4,"E","",""
"Luxembourg",256,"Agricultural water withdrawal",4250,2012,2.0E-4,"E","[120]",""
"Luxembourg",256,"Agricultural water withdrawal",4250,2013,3.0E-4,"E","[121]",""
"Madagascar",129,"Agricultural water withdrawal",4250,1984,16.14,"","",""
"Madagascar",129,"Agricultural water withdrawal",4250,2000,13.0,"I","",""
"Madagascar",129,"Agricultural water withdrawal",4250,2005,13.0,"","",""
"Malawi",130,"Agricultural water withdrawal",4250,1994,0.809,"","",""
"Malawi",130,"Agricultural water withdrawal",4250,2002,1.166,"L","[122]",""
"Malawi",130,"Agricultural water withdrawal",4250,2005,1.166,"L","[123,124]",""
"Malaysia",131,"Agricultural water withdrawal",4250,1990,8.3,"I","",""
"Malaysia",131,"Agricultural water withdrawal",4250,1996,2.505,"L","[125]",""
"Malaysia",131,"Agricultural water withdrawal",4250,2000,2.505,"L","[126,127]",""
"Malaysia",131,"Agricultural water withdrawal",4250,2005,2.505,"L","[128,129]",""
"Maldives",132,"Agricultural water withdrawal",4250,1987,0.0,"","",""
"Maldives",132,"Agricultural water withdrawal",4250,2008,0.0,"I","",""
"Mali",133,"Agricultural water withdrawal",4250,1987,1.319,"","",""
"Mali",133,"Agricultural water withdrawal",4250,1996,3.725,"","",""
"Mali",133,"Agricultural water withdrawal",4250,2001,4.99,"","",""
"Mali",133,"Agricultural water withdrawal",4250,2006,5.075,"","",""
"Malta",134,"Agricultural water withdrawal",4250,1995,0.007,"","",""
"Malta",134,"Agricultural water withdrawal",4250,2002,0.0189,"E","[130]",""
"Malta",134,"Agricultural water withdrawal",4250,2007,0.0203,"E","[131]",""
"Malta",134,"Agricultural water withdrawal",4250,2012,0.0241,"E","[132]",""
"Malta",134,"Agricultural water withdrawal",4250,2013,0.029,"E","[133]",""
"Mauritania",136,"Agricultural water withdrawal",4250,1980,0.613,"","",""
"Mauritania",136,"Agricultural water withdrawal",4250,1985,1.5,"","",""
"Mauritania",136,"Agricultural water withdrawal",4250,2000,1.5,"L","",""
"Mauritania",136,"Agricultural water withdrawal",4250,2004,1.223,"L","[134]",""
"Mauritius",137,"Agricultural water withdrawal",4250,1974,0.2768,"","",""
"Mauritius",137,"Agricultural water withdrawal",4250,1995,0.46,"","",""
"Mauritius",137,"Agricultural water withdrawal",4250,2003,0.491,"","",""
"Mexico",138,"Agricultural water withdrawal",4250,1995,62.5,"E","",""
"Mexico",138,"Agricultural water withdrawal",4250,2002,56.1,"","",""
"Mexico",138,"Agricultural water withdrawal",4250,2007,60.57,"","",""
"Mexico",138,"Agricultural water withdrawal",4250,2011,61.58,"","",""
